Column1,Column2,Column3,Column4
问题,解答,问题分类,答案（只用于计算题）
物理层要解决哪些问题？,"解答：物理层考虑的是怎样才能在连接各种计算机的传输媒体上传输数据比特流，而不是具体的传输媒体。现有的计算机网络中的硬件设备和传输媒体的种类非常繁多，而通信也有许多不同方式。物理层的作用正是尽可能地屏蔽掉这些差异，使物理层上面的数据链路层感觉不到这些差异，这样就可使数据链路层只需要考虑本层的协议和服务，而不必考虑网络具体的传输媒体是什么。在物理层上所传数据的单位是比特。物理层的任务就是透明地传送比特流。也就是说，发送方发送1（或 0)时，接收方应当收到 1（或 0)而不是 0（或1)。因此物理层要考虑用多大的电压代表”1""或“0"",以及接收方如何识别出发送方所发送的比特。物理层还要确定连接电缆的插头应当有多少根引脚以及各引脚应如何连接。当然，哪几坏比特代表什么意思，则不是物理层所要管的。传递信息所利用的一些传输媒体，如双绞线、同轴电缆、光缆、无线信道等，并不在物理层协议之内而在物理层协议的下面。因此也有人把传输媒体当作第0层。",理论,
物理层的主要特点是什么？,计算机网络中的硬件设备和传输媒体的种类非常繁多，而通信也有许多不同方式。物理层的作用正是尽可能地屏蔽掉这些差异，使物理层上面的数据链路层感觉不到这些差异，这样就可使数据链路层只需要考虑本层的协议和服务，而不必考虑网络具体的传输媒体是什么。,理论,
规程与协议有什么区别？,"规程这个名词仅用于物理层，在其他层不用“规程”,、而用“协议”。用于物理层的协议也常称为物理层规程 (procedure)。其实，物理层规程就是物理层协议。只是在“协议”这个名词出现之前人们就先使用了“规程”这一名词。因此，在物理层，这两个名词并没有多大区别。",理论,
物理层的接口有哪几个方面的特性？,物理层的接口有以下四个方面的特性： (1)机械特性   (2)电气特性   (3)功能特性   (4)过程特性,理论,
物理层的接口的特性各包含些什么内容？,(1)机械特性：指明接口所用接线器的形状和尺寸、引脚数目和排列、固定和锁定装置等。平时常见的各种规格的接插件都有严格的标准化的规定。(2)电气特性：指明在接口电缆的各条线上出现的电压的范围。(3)功能特性：指明某条线上出现的某一电平的电压表示何种意义。(4)过程特性：指明对于不同功能的各种可能事件的出现顺序。,理论,
数据在信道中的传输速率受哪些因素的限制？,数据在信道中的传输速率是受限制的。首先，具体的信道所能通过的频率范围总是有限的。信号中的许多高频分量往往不能通过信道。如果信号中的高频分量在传输时受到衰减，那么接收端收到的波形前沿和后沿就变得不那么陡峭了，每一个码元所占的时间界限也不再是很明确的，而是前后都拖了“尾巴气也就是说，扩散了的码元波形所占的时间也变得更宽了。这样，在接收端收到的信号波形就失去了码元之间的清晰界限。这种现象叫作码间串扰。严重的码间串扰使得本来分得很清楚的一串码元变得模糊而无法识别。为了避免码间串扰，码元的传输速率就受到了限制。其次，所有的电子设备和通信信道中都存在噪声。由于噪声是随机产生的，它的瞬时值有时会很大，因此噪声会使接收端对码元的判决产生错误 (1判决为 0或 0判决为1)。但噪声的影响是相对的。如果信号相对较强，那么噪声的影响就相对较小。对于一定的信噪比，码元的传输速率越大就越容易出现接收时的判决错误。如果增大信噪比，那么码元的传输速率就可以提高而不至于使判决错误的概率增大。,理论,
信噪比能否任意提高？,在实际的传输环境中，信噪比不可能做到任意大。一方面，我们的信号传输功率是受限的（经济问题、器件问题、材料的绝缘问题，等等），而任何电子设备的噪声也不可能做到任意小（任何电子设备都有其固有噪声）。因此，在实际的传输环境中，信噪比不可能做到任意大。,理论,
香农公式在数据通信中的意义是什么？,香农公式的意义就在于，只要信息传输速率低于信道的极限信息传输速率，就一定可以找到某种办法来实现无差错的传输。不过，香农没有告诉我们具体的实现方法。这要由研究通信的专家去寻找。,理论,
“比特／秒”和＂码元／秒“有何区别？,“比特／秒”和＂码元／秒”是不完全一样的，因为比特和码元所代表的意思并不相同。在使用二进制编码时，一个码元对应于一个比特。在这种情况下，“比特／秒”和“码元／秒”在数值上是一样的。但一个码元不一定总是对应于一个比特。根据编码的不同，一个码元可以对应于几个比特，但也可以是几个码元对应千一个比特。,理论,
试给出数据通信系统的模型并说明其主要组成构件的作用。,一个数据通信系统可划分为三大部分，即源系统（或发送端、发送方）、传输系统（或传输网络）和目的系统（或接收端、接收方）(1)源点：源点设备产生要传输的数据，例如，从计算机键盘输入汉字，计算机产生输出的数字比特流。源点又称为源站或信源。(2)发送器：通常源点生成的数字比特流要通过发送器编码后才能够在传输系统中进行传输。典型的发送器就是调制器。现在很多计算机使用内置的调制解调器（包含调制器和解调器），用户在计算机外面看不见调制解调器。目的系统一般包括以下两个部分。(1)接收器：接收传输系统传送过来的信号，并把它转换为能够被目的设备处理的信息。典型的接收器就是解调器，它对来自传输线路上的模拟信号进行解调，提取出在发送端置入的消息，还原出发送端产生的数字比特流。(2)终点：终点设备从接收器获取传送来的数字比特流，然后把信息输出（例如，把汉字在计算机屏幕上显示出来）。终点又称为目的站或信宿。在源系统和目的系统之间的传输系统可以是简单的传输线，也可以是连接在源系统和目的系统之间的复杂网络系统。,理论,
什么是 GPON?,GPON (Gigabit PON)是吉比特无源光网络，其标准是 ITU在 2003年 1月批准的 ITU-TG.984。 GPON采用通用封装方法 GEM (Generic Encapsulation Method)，可承载多业务，对各种业务类型都能够提供服务质量保证，是很有潜力的宽带光纤接入技术。,理论,
什么是 EPON？,EPON (Ethernet PON)是以太网无源光网络，已在 2004年 6月形成了 IEEE的标准 802.3ah。在链路层使用以太网协议，利用 PON的拓扑结构实现以太网的接入。 EPON的优点是：与现有以太网的兼容性好，并且成本低，扩展性强，管理方便。,理论,
